ShockAbsorbers;BrakePlates;Headlights;Supplier
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1
75;155;92;1


Supplier 1 = most reliable % of delivery
Requested number of parts = mean values of uniform and empirical distributions
Best strategy for satysfying the demand, since supplier 1 is more reliable
