ShockAbsorbers;BrakePlates;Headlights;Supplier
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
100;200;150;1
;;;
;;;
Only supplier 1 each week;;;
