ShockAbsorbers;BrakePlates;Headlights;Supplier
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
100;200;150;2
;;;
;;;
Only supplier 2 each week;;;
