ShockAbsorbers;BrakePlates;Headlights;Supplier
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
;;;
;;;
Every odd week supplier 1 , every even week supplier 2;;;
