ShockAbsorbers;BrakePlates;Headlights;Supplier
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
100;200;150;2
100;200;150;1
;;;
;;;
Every odd week supplier 2 , every even week supplier 1;;;
